Iteration   Subproblem          DualLB
--------------------------------------------
0           scen_0              0.98969698
0           scen_2              0.95495724
0           scen_4              0.9649618
0           scen_6              1.0033295
0           scen_8              0.99984646
0           scen_9              0.95491982
0           scen_2              0.95495724
0           scen_6              1.0033295
0           scen_8              0.99984646
0           scen_9              0.95491982
1           scen_2              0.95495724
1           scen_3              1.054137
1           scen_4              0.96731632
1           scen_6              1.0033295
2           scen_2              0.95495724
2           scen_6              1.0033295
2           scen_8              0.99984646
3           scen_2              0.95495724
3           scen_3              1.054137
3           scen_6              1.0033295
3           scen_8              0.99984646
4           scen_2              0.95495724
4           scen_6              1.0033295
4           scen_8              0.99984646
5           scen_0              0.99511221
5           scen_6              1.0033295
6           scen_2              0.95495724
6           scen_8              0.99984646
7           scen_8              0.99984646
8           scen_3              1.054137
8           scen_4              0.96775806
8           scen_8              0.99984646
9           scen_2              0.95495724
9           scen_3              1.054137
9           scen_6              1.0033295
9           scen_8              0.99984646
11          scen_0              0.99667556
11          scen_3              1.054137
11          scen_6              1.0033295
11          scen_8              0.99984646
12          scen_2              0.95495724
12          scen_8              0.99984646
13          scen_2              0.95495724
13          scen_8              1.001452
14          scen_8              0.99984646
16          scen_8              0.99984646
17          scen_8              0.99989964
18          scen_8              0.99984646
23          scen_3              1.054137
23          scen_8              0.99984646
24          scen_8              0.99984646
27          scen_8              0.99984646
36          scen_8              1.0012998
39          scen_3              1.054694
39          scen_8              1.0012998
40          scen_8              0.99984646
45          scen_8              0.99984646
46          scen_8              0.99984646
49          scen_8              0.99984646
52          scen_3              1.054694
52          scen_8              1.0012998
54          scen_0              0.99511221
54          scen_3              1.054694
54          scen_6              1.0117117
54          scen_8              1.0012998
57          scen_0              0.99511221
57          scen_3              1.054694
57          scen_6              1.0117117
57          scen_8              1.0073849
