Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever #1e-1 60
41.634,8,0.987711508,1.073400404,7.9829386%,0.08569,0.987711508,1.073400404
49.783,9,0.980316438,1.020197935,3.9091921%,0.03988,0.987711508,1.020197935
72.481,10,0.979336992,0.989620214,1.0391080%,0.01028,0.987711508,0.989620214
90.008,11,0.979348589,0.989620214,1.0379361%,0.01027,0.987711508,0.989620214
98.384,12,0.979363879,0.988312605,0.9054550%,0.00895,0.987711508,0.988312605
108.441,13,0.979338317,0.981886634,0.2595328%,0.00255,0.987711508,0.981886634
121.919,14,0.979349604,0.981886634,0.2583832%,0.00254,0.987711508,0.981886634
125.202,15,0.979334153,0.981886634,0.2599568%,0.00255,0.987711508,0.981886634
133.621,16,0.979332671,0.981886634,0.2601077%,0.00255,0.987711508,0.981886634
142.777,17,0.979327750,0.981157460,0.1864849%,0.00183,0.987711508,0.981157460
152.538,18,0.979327243,0.981157460,0.1865366%,0.00183,0.987711508,0.981157460
162.711,19,0.979326984,0.981157460,0.1865630%,0.00183,0.987711508,0.981157460
176.049,20,0.979330628,0.981157460,0.1861915%,0.00183,0.987711508,0.981157460
187.728,21,0.979326352,0.981157460,0.1866273%,0.00183,0.987711508,0.981157460
197.762,22,0.979325897,0.981157460,0.1866737%,0.00183,0.987711508,0.981157460
207.484,23,0.979329518,0.981157460,0.1863047%,0.00183,0.987711508,0.981157460
214.453,24,0.979327326,0.980910455,0.1613938%,0.00158,0.987711508,0.980910455
217.672,25,0.979330908,0.980910455,0.1610287%,0.00158,0.987711508,0.980910455
218.256,26,0.979326002,0.980910455,0.1615287%,0.00158,0.987711508,0.980910455
235.655,27,0.979326557,0.980910455,0.1614721%,0.00158,0.987711508,0.980910455
249.798,28,0.979325854,0.980008850,0.0696928%,0.00068,0.987711508,0.980008850
259.911,29,0.979327248,0.980008850,0.0695505%,0.00068,0.987711508,0.980008850
263.817,30,0.979327783,0.980008850,0.0694960%,0.00068,0.987711508,0.980008850
264.500,31,0.979326000,0.980008850,0.0696779%,0.00068,0.987711508,0.980008850
271.541,32,0.979326178,0.980008850,0.0696597%,0.00068,0.987711508,0.980008850
280.363,33,0.979335960,0.980008850,0.0686616%,0.00067,0.987711508,0.980008850
281.045,34,0.979338613,0.980008850,0.0683909%,0.00067,0.987711508,0.980008850
288.388,35,0.979348695,0.980008850,0.0673621%,0.00066,0.987711508,0.980008850
292.012,36,0.979366492,0.980008850,0.0655461%,0.00064,0.987711508,0.980008850
292.571,37,0.979340198,0.980008850,0.0682292%,0.00067,0.987711508,0.980008850
296.133,38,0.979419538,0.980008850,0.0601333%,0.00059,0.987711508,0.980008850
296.671,39,0.979336323,0.980008850,0.0686245%,0.00067,0.987711508,0.980008850
322.129,40,0.979337515,0.980008850,0.0685029%,0.00067,0.987711508,0.980008850
332.477,41,0.979342877,0.980008850,0.0679558%,0.00067,0.987711508,0.980008850
336.436,42,0.979350499,0.980008850,0.0671780%,0.00066,0.987711508,0.980008850
353.279,43,0.979343197,0.980008850,0.0679231%,0.00067,0.987711508,0.980008850
361.774,44,0.979326644,0.980008850,0.0696122%,0.00068,0.987711508,0.980008850
371.234,45,0.979329684,0.980008850,0.0693020%,0.00068,0.987711508,0.980008850
383.698,46,0.979330776,0.980008850,0.0691906%,0.00068,0.987711508,0.980008850
397.595,47,0.979331335,0.980008850,0.0691335%,0.00068,0.987711508,0.980008850
410.073,48,0.979330332,0.980008850,0.0692359%,0.00068,0.987711508,0.980008850
420.627,49,0.979330395,0.980008850,0.0692295%,0.00068,0.987711508,0.980008850
428.834,50,0.979330371,0.980008850,0.0692319%,0.00068,0.987711508,0.980008850
436.650,51,0.979332792,0.980008850,0.0689848%,0.00068,0.987711508,0.980008850
443.846,52,0.979330921,0.980008850,0.0691758%,0.00068,0.987711508,0.980008850
462.011,53,0.979325425,0.980008850,0.0697365%,0.00068,0.987711508,0.980008850
475.635,54,0.979325678,0.980008850,0.0697107%,0.00068,0.987711508,0.980008850
486.635,55,0.979328800,0.980008850,0.0693921%,0.00068,0.987711508,0.980008850
494.471,56,0.979329180,0.980008850,0.0693534%,0.00068,0.987711508,0.980008850
501.467,57,0.979329433,0.980008850,0.0693276%,0.00068,0.987711508,0.980008850
509.333,58,0.979329934,0.980008850,0.0692765%,0.00068,0.987711508,0.980008850
516.453,59,0.979330635,0.980008850,0.0692049%,0.00068,0.987711508,0.980008850
523.374,60,0.979331095,0.980008850,0.0691580%,0.00068,0.987711508,0.980008850
530.360,61,0.979330205,0.980008850,0.0692488%,0.00068,0.987711508,0.980008850
540.384,62,0.979329152,0.980008850,0.0693563%,0.00068,0.987711508,0.980008850
549.433,63,0.979330369,0.980008850,0.0692321%,0.00068,0.987711508,0.980008850
558.468,64,0.979331531,0.980008850,0.0691135%,0.00068,0.987711508,0.980008850
563.100,65,0.979334067,0.980008850,0.0688547%,0.00067,0.987711508,0.980008850
564.024,66,0.979334623,0.980008850,0.0687980%,0.00067,0.987711508,0.980008850
564.705,67,0.979328926,0.980008850,0.0693793%,0.00068,0.987711508,0.980008850
571.745,68,0.979329996,0.979635229,0.0311578%,0.00031,0.987711508,0.979635229
577.209,69,0.979334867,0.979635229,0.0306606%,0.00030,0.987711508,0.979635229
577.763,70,0.979331384,0.979635229,0.0310161%,0.00030,0.987711508,0.979635229
