# debug_dual_gt_obj.txt — subproblems where dual_bound > primal_obj
# Format: [Iter N] [MS/CS] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., gap=...

[Iter 1] [CS] simplex_idx=2, verts=(3, 4, 5, 7), scenario=0, dual_bound=413.2684624130152, primal_obj=413.2684623277309, gap=8.528428452336811e-08
[Iter 2] [CS] simplex_idx=6, verts=(3, 4, 7, 8), scenario=1, dual_bound=118.4974369040956, primal_obj=118.49743156587216, gap=5.338223431294864e-06
[Iter 4] [CS] simplex_idx=10, verts=(3, 4, 7, 10), scenario=1, dual_bound=124.53754166185718, primal_obj=124.537538730769, gap=2.9310881757282914e-06
[Iter 4] [CS] simplex_idx=10, verts=(3, 4, 7, 10), scenario=4, dual_bound=265.74852304543674, primal_obj=265.7485230083589, gap=3.707782525452785e-08
[Iter 6] [CS] simplex_idx=12, verts=(3, 4, 7, 12), scenario=0, dual_bound=413.2684623630794, primal_obj=413.2684623395295, gap=2.3549887373519596e-08
[Iter 6] [CS] simplex_idx=12, verts=(3, 4, 7, 12), scenario=1, dual_bound=127.6102069341814, primal_obj=127.61020558391616, gap=1.3502652507213497e-06
[Iter 6] [CS] simplex_idx=12, verts=(3, 4, 7, 12), scenario=4, dual_bound=267.6014373747057, primal_obj=267.6014372907558, gap=8.394988526561065e-08
[Iter 7] [CS] simplex_idx=14, verts=(3, 4, 7, 13), scenario=1, dual_bound=127.78804272192247, primal_obj=127.7880422958719, gap=4.2605056194133795e-07
[Iter 8] [CS] simplex_idx=16, verts=(3, 4, 7, 14), scenario=1, dual_bound=128.5394703658185, primal_obj=128.53946875159798, gap=1.6142205083724548e-06
[Iter 8] [CS] simplex_idx=16, verts=(3, 4, 7, 14), scenario=4, dual_bound=269.7504239203663, primal_obj=269.75042387316955, gap=4.719674961961573e-08
[Iter 10] [CS] simplex_idx=19, verts=(4, 14, 15, 16), scenario=0, dual_bound=413.2684636238919, primal_obj=413.2684635746859, gap=4.920599394608871e-08
[Iter 10] [CS] simplex_idx=19, verts=(4, 14, 15, 16), scenario=1, dual_bound=128.53946868262756, primal_obj=128.5394685131048, gap=1.6952276382653508e-07
[Iter 10] [CS] simplex_idx=19, verts=(4, 14, 15, 16), scenario=2, dual_bound=3203.4234711668523, primal_obj=3203.4234711397676, gap=2.7084752218797803e-08
[Iter 11] [CS] simplex_idx=19, verts=(7, 14, 15, 16), scenario=4, dual_bound=269.75042275075975, primal_obj=269.75042257375196, gap=1.7700779153528856e-07
[Iter 12] [CS] simplex_idx=23, verts=(14, 15, 16, 18), scenario=1, dual_bound=128.5454949564646, primal_obj=128.5454949427088, gap=1.3755794725511805e-08
[Iter 12] [CS] simplex_idx=23, verts=(14, 15, 16, 18), scenario=2, dual_bound=3203.4234713216174, primal_obj=3203.4234712481325, gap=7.348489816649817e-08
[Iter 13] [CS] simplex_idx=23, verts=(14, 15, 16, 19), scenario=1, dual_bound=128.5454948297902, primal_obj=128.5454948125496, gap=1.724058051877364e-08
[Iter 13] [CS] simplex_idx=23, verts=(14, 15, 16, 19), scenario=2, dual_bound=3203.423469879368, primal_obj=3203.423469625714, gap=2.536539795983117e-07
[Iter 14] [CS] simplex_idx=6, verts=(3, 4, 5, 8), scenario=2, dual_bound=3430.6991511398282, primal_obj=3430.6991511186666, gap=2.1161667973501608e-08
[Iter 14] [CS] simplex_idx=6, verts=(3, 4, 5, 8), scenario=3, dual_bound=785.1363485176244, primal_obj=785.1363484955676, gap=2.205672444688389e-08
[Iter 15] [CS] simplex_idx=26, verts=(3, 4, 8, 21), scenario=0, dual_bound=413.26846242084866, primal_obj=413.26846235425273, gap=6.659593054791912e-08
[Iter 15] [CS] simplex_idx=26, verts=(3, 4, 8, 21), scenario=1, dual_bound=118.49743581353141, primal_obj=118.49743317222148, gap=2.6413099334376966e-06
[Iter 15] [CS] simplex_idx=26, verts=(3, 4, 8, 21), scenario=4, dual_bound=139.9113251235358, primal_obj=139.9113249679442, gap=1.5559157873212826e-07
[Iter 16] [CS] simplex_idx=27, verts=(4, 8, 21, 22), scenario=3, dual_bound=785.1363488924471, primal_obj=785.1363488680408, gap=2.440629032207653e-08
[Iter 17] [CS] simplex_idx=29, verts=(8, 21, 22, 23), scenario=3, dual_bound=785.1363499046529, primal_obj=785.1363498659524, gap=3.870047748932848e-08
[Iter 19] [CS] simplex_idx=33, verts=(21, 22, 23, 25), scenario=2, dual_bound=3430.6991522942644, primal_obj=3430.699151771338, gap=5.22926256962819e-07
[Iter 19] [CS] simplex_idx=33, verts=(21, 22, 23, 25), scenario=3, dual_bound=785.136351385383, primal_obj=785.1363510428647, gap=3.4251831948495237e-07
[Iter 20] [CS] simplex_idx=36, verts=(21, 22, 23, 26), scenario=2, dual_bound=3430.6991518848736, primal_obj=3430.6991518481163, gap=3.6757228372152895e-08
[Iter 20] [CS] simplex_idx=36, verts=(21, 22, 23, 26), scenario=3, dual_bound=785.136350002329, primal_obj=785.1363498609505, gap=1.4137845028017182e-07
[Iter 22] [CS] simplex_idx=26, verts=(3, 4, 5, 21), scenario=3, dual_bound=785.1363484986887, primal_obj=785.1363484862334, gap=1.2455302567104809e-08
[Iter 23] [CS] simplex_idx=40, verts=(3, 5, 21, 29), scenario=3, dual_bound=785.1363485098891, primal_obj=785.1363484539918, gap=5.5897316997288726e-08
[Iter 24] [CS] simplex_idx=7, verts=(3, 4, 8, 9), scenario=0, dual_bound=413.2684623379355, primal_obj=413.2684623234645, gap=1.4470970199909061e-08
[Iter 24] [CS] simplex_idx=7, verts=(3, 4, 8, 9), scenario=1, dual_bound=118.49743396504527, primal_obj=118.49743309314502, gap=8.719002551060839e-07
[Iter 24] [CS] simplex_idx=7, verts=(3, 4, 8, 9), scenario=3, dual_bound=785.1363484920385, primal_obj=785.1363484487176, gap=4.3320824261172675e-08
[Iter 25] [CS] simplex_idx=43, verts=(3, 4, 9, 31), scenario=0, dual_bound=413.2684623486066, primal_obj=413.26846232695146, gap=2.1655125692632282e-08
[Iter 26] [CS] simplex_idx=46, verts=(3, 4, 9, 32), scenario=3, dual_bound=785.1363484417052, primal_obj=785.1363484177771, gap=2.3928123482619412e-08
[Iter 26] [CS] simplex_idx=46, verts=(3, 4, 9, 32), scenario=4, dual_bound=256.215441138138, primal_obj=256.21544111563634, gap=2.2501637886307435e-08
[Iter 27] [CS] simplex_idx=48, verts=(3, 4, 9, 33), scenario=4, dual_bound=256.21543972658765, primal_obj=256.2154396902739, gap=3.631373601820087e-08
[Iter 28] [CS] simplex_idx=50, verts=(3, 4, 9, 34), scenario=1, dual_bound=124.5375366058015, primal_obj=124.53753654101939, gap=6.47821138954896e-08
[Iter 28] [CS] simplex_idx=50, verts=(3, 4, 9, 34), scenario=3, dual_bound=785.1363484368903, primal_obj=785.1363484175539, gap=1.9336425793881062e-08
[Iter 28] [CS] simplex_idx=50, verts=(3, 4, 9, 34), scenario=4, dual_bound=256.2154397119921, primal_obj=256.2154396890494, gap=2.2942685973248444e-08
[Iter 29] [CS] simplex_idx=50, verts=(3, 4, 9, 35), scenario=0, dual_bound=413.2684623530431, primal_obj=413.2684623362798, gap=1.6763294752308866e-08
[Iter 29] [CS] simplex_idx=50, verts=(3, 4, 9, 35), scenario=1, dual_bound=124.5375372798826, primal_obj=124.53753723211663, gap=4.7765965405233146e-08
[Iter 30] [CS] simplex_idx=52, verts=(3, 4, 9, 36), scenario=0, dual_bound=413.2684623719224, primal_obj=413.2684623094344, gap=6.248797035368625e-08
[Iter 30] [CS] simplex_idx=52, verts=(3, 4, 9, 36), scenario=3, dual_bound=785.1363484640442, primal_obj=785.1363484371059, gap=2.693832357181236e-08
[Iter 31] [CS] simplex_idx=52, verts=(3, 4, 9, 37), scenario=1, dual_bound=124.53753761806911, primal_obj=124.53753746120263, gap=1.5686647714119317e-07
[Iter 32] [CS] simplex_idx=54, verts=(3, 4, 9, 38), scenario=0, dual_bound=413.26846235006997, primal_obj=413.2684623176456, gap=3.2424395612906665e-08
[Iter 32] [CS] simplex_idx=54, verts=(3, 4, 9, 38), scenario=1, dual_bound=124.53753751144723, primal_obj=124.53753748522851, gap=2.6218714310743962e-08
[Iter 33] [CS] simplex_idx=54, verts=(3, 4, 9, 39), scenario=0, dual_bound=413.26846240523446, primal_obj=413.2684623341914, gap=7.104307542249444e-08
[Iter 33] [CS] simplex_idx=54, verts=(3, 4, 9, 39), scenario=4, dual_bound=256.2154397386221, primal_obj=256.2154397003202, gap=3.830189143627649e-08
[Iter 34] [CS] simplex_idx=56, verts=(3, 4, 9, 40), scenario=0, dual_bound=413.26846233104243, primal_obj=413.26846230600495, gap=2.503747964510694e-08
[Iter 35] [CS] simplex_idx=56, verts=(3, 4, 9, 41), scenario=4, dual_bound=256.21543976816247, primal_obj=256.21543969288143, gap=7.528103651566198e-08
[Iter 36] [CS] simplex_idx=58, verts=(3, 4, 9, 42), scenario=1, dual_bound=124.53753757346021, primal_obj=124.537537517933, gap=5.5527209497086005e-08
[Iter 36] [CS] simplex_idx=58, verts=(3, 4, 9, 42), scenario=3, dual_bound=785.136348430533, primal_obj=785.136348418029, gap=1.250396053364966e-08
[Iter 37] [CS] simplex_idx=43, verts=(3, 4, 8, 31), scenario=0, dual_bound=413.2684623756222, primal_obj=413.268462349265, gap=2.635721330079832e-08
[Iter 37] [CS] simplex_idx=43, verts=(3, 4, 8, 31), scenario=1, dual_bound=118.49743324700285, primal_obj=118.49743280013718, gap=4.468656698008999e-07
[Iter 38] [CS] simplex_idx=28, verts=(8, 22, 23, 24), scenario=1, dual_bound=118.49743205305822, primal_obj=118.49743170298137, gap=3.500768457342929e-07
[Iter 38] [CS] simplex_idx=28, verts=(8, 22, 23, 24), scenario=3, dual_bound=785.1363505138834, primal_obj=785.1363504455196, gap=6.836376087449025e-08
[Iter 39] [CS] simplex_idx=56, verts=(4, 9, 42, 43), scenario=4, dual_bound=256.21543992996885, primal_obj=256.2154399064433, gap=2.352555839024717e-08
[Iter 40] [CS] simplex_idx=62, verts=(4, 9, 42, 46), scenario=4, dual_bound=256.21544065791386, primal_obj=256.2154406297314, gap=2.8182455480418867e-08
[Iter 42] [CS] simplex_idx=64, verts=(4, 9, 42, 48), scenario=4, dual_bound=256.2154429024813, primal_obj=256.21544288969926, gap=1.2782038538716733e-08
[Iter 43] [CS] simplex_idx=66, verts=(4, 9, 42, 49), scenario=1, dual_bound=124.5375375408421, primal_obj=124.537537507434, gap=3.340809939800238e-08
[Iter 44] [CS] simplex_idx=66, verts=(4, 9, 42, 50), scenario=1, dual_bound=124.5375375884887, primal_obj=124.53753751169165, gap=7.679705049667973e-08
[Iter 45] [CS] simplex_idx=68, verts=(4, 9, 42, 51), scenario=1, dual_bound=124.53753759906067, primal_obj=124.53753750708975, gap=9.197091799251211e-08
[Iter 47] [CS] simplex_idx=70, verts=(4, 9, 42, 53), scenario=1, dual_bound=124.5375376921711, primal_obj=124.53753750944801, gap=1.8272308466293907e-07
[Iter 51] [CS] simplex_idx=73, verts=(4, 9, 42, 57), scenario=0, dual_bound=413.9922439465154, primal_obj=413.99224393650906, gap=1.0006317552324617e-08
[Iter 51] [CS] simplex_idx=73, verts=(4, 9, 42, 57), scenario=1, dual_bound=124.5375375532185, primal_obj=124.53753751000498, gap=4.3213518097218184e-08
[Iter 57] [CS] simplex_idx=80, verts=(4, 9, 42, 63), scenario=1, dual_bound=124.53753752442026, primal_obj=124.53753750976529, gap=1.4654972346761497e-08
[Iter 59] [CS] simplex_idx=81, verts=(4, 9, 42, 65), scenario=1, dual_bound=124.5375375224121, primal_obj=124.53753750893088, gap=1.3481212590704672e-08
