Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.362,8,113.227603847,35774.660414281,99.6834978%,35661.43281,113.227603847,35774.660414281,N/A,N/A,N/A,0/5,none,none
0.797,8,113.227603847,3312.370888248,96.5816749%,3199.14328,113.227603847,3312.370888248,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
5.212,9,956.516251448,3312.370888248,71.1229121%,2355.85464,956.516251448,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
6.414,10,958.422868340,3312.370888248,71.0653517%,2353.94802,958.422868340,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
8.163,11,959.037400573,3312.370888248,71.0467990%,2353.33349,959.037400573,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
9.922,12,959.407984569,3312.370888248,71.0356111%,2352.96290,959.407984569,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
11.193,13,959.873348746,3312.370888248,71.0215619%,2352.49754,959.873348746,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
13.157,14,960.023634508,3312.370888248,71.0170248%,2352.34725,960.023634508,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
14.872,15,960.205841670,3312.370888248,71.0115239%,2352.16505,960.205841670,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
16.179,16,960.205842407,3312.370888248,71.0115239%,2352.16505,960.205842407,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
17.752,17,960.207047585,3312.370888248,71.0114875%,2352.16384,960.207047585,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
19.403,18,960.207048572,3312.370888248,71.0114875%,2352.16384,960.207048572,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
20.828,19,960.207047284,3312.370888248,71.0114876%,2352.16384,960.207048572,3312.370888248,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
22.074,20,977.502543290,3312.370888248,70.4893390%,2334.86834,977.502543290,3312.370888248,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
23.356,21,977.502544000,3312.370888248,70.4893390%,2334.86834,977.502544000,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
25.070,22,977.502543766,3312.370888248,70.4893390%,2334.86834,977.502544000,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
26.495,23,977.502544417,3312.370888248,70.4893390%,2334.86834,977.502544417,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
27.779,24,978.537379998,3312.370888248,70.4580974%,2333.83351,978.537379998,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
29.948,25,978.537380469,3312.370888248,70.4580974%,2333.83351,978.537380469,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
31.633,26,978.546554298,3312.370888248,70.4578205%,2333.82433,978.546554298,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
33.649,27,978.546553919,3312.370888248,70.4578205%,2333.82433,978.546554298,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
34.982,28,978.546594420,3312.370888248,70.4578193%,2333.82429,978.546594420,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
36.275,29,981.504211767,3312.370888248,70.3685292%,2330.86668,981.504211767,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
37.614,30,1000.763366914,3312.370888248,69.7870981%,2311.60752,1000.763366914,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
39.334,31,1001.968338321,3312.370888248,69.7507202%,2310.40255,1001.968338321,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
41.636,32,1001.971384245,3312.370888248,69.7506282%,2310.39950,1001.971384245,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5,none
43.756,33,1001.971383967,3312.370888248,69.7506282%,2310.39950,1001.971384245,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
45.145,34,1001.971387607,3312.370888248,69.7506281%,2310.39950,1001.971387607,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
46.500,35,1001.971387775,3312.370888248,69.7506281%,2310.39950,1001.971387775,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
47.795,36,1001.971387757,3312.370888248,69.7506281%,2310.39950,1001.971387775,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
49.062,37,1001.971388776,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
50.377,38,1001.971387815,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
51.733,39,1001.971387735,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
53.084,40,1001.971387779,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
54.406,41,1001.971387779,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
55.717,42,1001.971387816,3312.370888248,69.7506281%,2310.39950,1001.971388776,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
56.993,43,1002.302823502,3312.370888248,69.7406221%,2310.06806,1002.302823502,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
58.324,44,1002.302824094,3312.370888248,69.7406221%,2310.06806,1002.302824094,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5; 0/5,none
60.004,45,1002.571582625,3312.370888248,69.7325083%,2309.79931,1002.571582625,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
61.354,46,1002.571582769,3312.370888248,69.7325083%,2309.79931,1002.571582769,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
62.626,47,1002.571583532,3312.370888248,69.7325083%,2309.79930,1002.571583532,3312.370888248,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
63.913,48,1002.571583222,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
65.269,49,1002.571583353,3312.370888248,69.7325083%,2309.79930,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
66.543,50,1002.571582767,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
67.806,51,1002.571582900,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
69.100,52,1002.571582574,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
70.397,53,1002.571582686,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
71.682,54,1002.571582594,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
72.973,55,1002.571582562,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
74.308,56,1002.571582625,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
75.613,57,1002.571582659,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
76.903,58,1002.571582588,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
78.265,59,1002.571583111,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
79.554,60,1002.571582599,3312.370888248,69.7325083%,2309.79931,1002.571583532,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
80.844,61,1002.571583922,3312.370888248,69.7325083%,2309.79930,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
82.195,62,1002.571582604,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
83.483,63,1002.571582594,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
84.793,64,1002.571582593,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
86.086,65,1002.571582659,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
87.395,66,1002.571582626,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
88.715,67,1002.571582725,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
90.036,68,1002.571582785,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
91.342,69,1002.571582647,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
92.674,70,1002.571582595,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
93.961,71,1002.571582586,3312.370888248,69.7325083%,2309.79931,1002.571583922,3312.370888248,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
