Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.974,32,-357.181306426,-306.239522933,16.6346208%,50.94178,-357.181306426,-306.239522933,N/A,N/A,N/A,0/5,none,none
1.809,32,-357.189645411,-356.930406371,0.0726301%,0.25924,-357.181306426,-356.930406371,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
12.374,33,-357.181306426,-356.930406371,0.0702938%,0.25090,-357.181306426,-356.930406371,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
86.536,34,-357.143727088,-356.930406371,0.0597654%,0.21332,-357.143727088,-356.930406371,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
89.848,35,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
92.754,36,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
95.737,37,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
98.763,38,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
102.153,39,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
105.184,40,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
108.235,41,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
111.146,42,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
114.071,43,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
116.894,44,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
119.787,45,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
122.797,46,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
125.662,47,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
128.543,48,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
131.671,49,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
134.784,50,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
138.053,51,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
141.229,52,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
144.398,53,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
147.354,54,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
150.286,55,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
153.176,56,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
156.203,57,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
159.292,58,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
162.288,59,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
165.407,60,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
168.459,61,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
171.407,62,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
174.329,63,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
177.168,64,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
179.972,65,-357.143727086,-356.930406371,0.0597654%,0.21332,-357.143727086,-356.930406371,OUTSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
