Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
38.547,32,32552.540387809,33480.800333722,2.7725142%,928.25995,32552.540387809,33480.800333722,INSIDE,INSIDE
43.792,33,32552.602286318,33480.800321506,2.7723293%,928.19804,32552.602286318,33480.800321506,INSIDE,INSIDE
45.339,34,32552.704024724,33480.800321506,2.7720254%,928.09630,32552.704024724,33480.800321506,INSIDE,INSIDE
46.932,35,32552.519480162,33480.800227277,2.7725763%,928.28075,32552.704024724,33480.800227277,INSIDE,INSIDE
48.987,36,32552.519479574,33480.800227277,2.7725763%,928.28075,32552.704024724,33480.800227277,INSIDE,INSIDE
50.760,37,32552.519237018,33480.800227277,2.7725771%,928.28099,32552.704024724,33480.800227277,INSIDE,INSIDE
52.865,38,32552.519237031,33480.800227277,2.7725771%,928.28099,32552.704024724,33480.800227277,INSIDE,INSIDE
55.083,39,32552.519197426,33480.800227277,2.7725772%,928.28103,32552.704024724,33480.800227277,INSIDE,INSIDE
57.189,40,32552.519237024,33480.799380335,2.7725746%,928.28014,32552.704024724,33480.799380335,OUTSIDE,INSIDE
59.058,41,32552.519237018,33480.799380335,2.7725746%,928.28014,32552.704024724,33480.799380335,INSIDE,INSIDE
61.445,42,32552.519237018,33480.799380335,2.7725746%,928.28014,32552.704024724,33480.799380335,INSIDE,INSIDE
63.741,43,32552.519436592,33480.799380335,2.7725740%,928.27994,32552.704024724,33480.799380335,OUTSIDE,INSIDE
65.849,44,32552.519237018,33480.799380335,2.7725746%,928.28014,32552.704024724,33480.799380335,INSIDE,INSIDE
68.014,45,32552.519237033,33480.799380335,2.7725746%,928.28014,32552.704024724,33480.799380335,INSIDE,INSIDE
70.181,46,32552.519478642,33480.799380335,2.7725739%,928.27990,32552.704024724,33480.799380335,OUTSIDE,INSIDE
72.512,47,32552.519479606,33480.799380335,2.7725739%,928.27990,32552.704024724,33480.799380335,OUTSIDE,INSIDE
74.695,48,32552.519479626,33480.799380335,2.7725739%,928.27990,32552.704024724,33480.799380335,INSIDE,INSIDE
77.116,49,32552.519480029,33480.799380335,2.7725739%,928.27990,32552.704024724,33480.799380335,OUTSIDE,INSIDE
79.486,50,32860.142293092,33480.799380335,1.8537702%,620.65709,32860.142293092,33480.799380335,OUTSIDE,INSIDE
81.815,51,32974.523198503,33480.799380335,1.5121389%,506.27618,32974.523198503,33480.799380335,OUTSIDE,INSIDE
84.529,52,32977.197404665,33480.799380335,1.5041516%,503.60198,32977.197404665,33480.799380335,OUTSIDE,INSIDE
86.737,53,33026.959883858,33480.799380335,1.3555217%,453.83950,33026.959883858,33480.799380335,OUTSIDE,INSIDE
88.883,54,33026.959883858,33480.799380335,1.3555217%,453.83950,33026.959883858,33480.799380335,INSIDE,INSIDE
91.508,55,33026.959883911,33480.799380335,1.3555217%,453.83950,33026.959883911,33480.799380335,INSIDE,INSIDE
95.478,56,33026.959881387,33480.799380335,1.3555217%,453.83950,33026.959883911,33480.799380335,INSIDE,INSIDE
98.066,57,33026.959881387,33480.799380335,1.3555217%,453.83950,33026.959883911,33480.799380335,INSIDE,INSIDE
100.810,58,33026.959884235,33480.799380335,1.3555217%,453.83950,33026.959884235,33480.799380335,OUTSIDE,INSIDE
103.672,59,33026.959882209,33480.799380335,1.3555217%,453.83950,33026.959884235,33480.799380335,INSIDE,INSIDE
106.667,60,33026.959882209,33480.799380335,1.3555217%,453.83950,33026.959884235,33480.799380335,INSIDE,INSIDE
109.412,61,33026.959882211,33480.799380335,1.3555217%,453.83950,33026.959884235,33480.799380335,INSIDE,INSIDE
112.338,62,33026.959884627,33480.799380335,1.3555217%,453.83950,33026.959884627,33480.799380335,INSIDE,INSIDE
115.628,63,33027.026877585,33480.799380335,1.3553216%,453.77250,33027.026877585,33480.799380335,OUTSIDE,INSIDE
118.497,64,33026.959881371,33480.799380335,1.3555217%,453.83950,33027.026877585,33480.799380335,INSIDE,INSIDE
121.587,65,33026.959881371,33480.799380335,1.3555217%,453.83950,33027.026877585,33480.799380335,INSIDE,INSIDE
124.834,66,33026.959884448,33480.799380335,1.3555217%,453.83950,33027.026877585,33480.799380335,INSIDE,INSIDE
128.039,67,33057.347753167,33480.799380335,1.2647596%,423.45163,33057.347753167,33480.799380335,OUTSIDE,INSIDE
130.799,68,33057.280252227,33480.799380335,1.2649612%,423.51913,33057.347753167,33480.799380335,INSIDE,INSIDE
133.497,69,33069.429818864,33480.799380335,1.2286731%,411.36956,33069.429818864,33480.799380335,OUTSIDE,INSIDE
136.121,70,33071.337091905,33480.799380335,1.2229764%,409.46229,33071.337091905,33480.799380335,OUTSIDE,INSIDE
139.807,71,33075.285808224,33480.799380335,1.2111825%,405.51357,33075.285808224,33480.799380335,OUTSIDE,INSIDE
142.246,72,33080.336563964,33480.799380335,1.1960969%,400.46282,33080.336563964,33480.799380335,OUTSIDE,INSIDE
144.788,73,33087.601666042,33480.799380335,1.1743976%,393.19771,33087.601666042,33480.799380335,OUTSIDE,INSIDE
147.950,74,33109.534142723,33480.799380335,1.1088900%,371.26524,33109.534142723,33480.799380335,OUTSIDE,INSIDE
150.688,75,33158.812976642,33480.799380335,0.9617046%,321.98640,33158.812976642,33480.799380335,OUTSIDE,INSIDE
153.255,76,33161.673653277,33480.799380335,0.9531604%,319.12573,33161.673653277,33480.799380335,OUTSIDE,INSIDE
155.772,77,33214.240124883,33480.799380335,0.7961556%,266.55926,33214.240124883,33480.799380335,OUTSIDE,INSIDE
158.476,78,33214.240126524,33480.799380335,0.7961556%,266.55925,33214.240126524,33480.799380335,INSIDE,INSIDE
161.119,79,33214.240126540,33480.799380335,0.7961556%,266.55925,33214.240126540,33480.799380335,INSIDE,INSIDE
164.235,80,33214.240126124,33480.799380335,0.7961556%,266.55925,33214.240126540,33480.799380335,INSIDE,INSIDE
167.205,81,33214.240126564,33480.799380335,0.7961556%,266.55925,33214.240126564,33480.799380335,OUTSIDE,INSIDE
169.938,82,33214.240127188,33480.799380335,0.7961556%,266.55925,33214.240127188,33480.799380335,OUTSIDE,INSIDE
173.054,83,33214.240127168,33480.799380335,0.7961556%,266.55925,33214.240127188,33480.799380335,INSIDE,INSIDE
175.846,84,33214.240078689,33480.799380335,0.7961557%,266.55930,33214.240127188,33480.799380335,INSIDE,INSIDE
178.848,85,33214.240127950,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,OUTSIDE,INSIDE
182.770,86,33214.240126534,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
186.733,87,33214.240126550,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
190.081,88,33214.240126523,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
193.431,89,33214.240126536,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
196.757,90,33214.240124875,33480.799380335,0.7961556%,266.55926,33214.240127950,33480.799380335,INSIDE,INSIDE
200.000,91,33214.240125924,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
203.412,92,33214.240126853,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,OUTSIDE,INSIDE
207.238,93,33214.240126519,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
210.793,94,33214.240126519,33480.799380335,0.7961556%,266.55925,33214.240127950,33480.799380335,INSIDE,INSIDE
214.378,95,33214.240128620,33480.799380335,0.7961556%,266.55925,33214.240128620,33480.799380335,OUTSIDE,INSIDE
218.141,96,33214.240128813,33480.799380335,0.7961556%,266.55925,33214.240128813,33480.799380335,OUTSIDE,INSIDE
220.284,97,33214.243412108,33480.799380335,0.7961458%,266.55597,33214.243412108,33480.799380335,OUTSIDE,INSIDE
223.769,98,33214.240785498,33480.799380335,0.7961536%,266.55859,33214.243412108,33480.799380335,INSIDE,INSIDE
227.979,99,33214.240125452,33480.799380335,0.7961556%,266.55925,33214.243412108,33480.799380335,INSIDE,INSIDE
231.406,100,33214.247311141,33480.799380335,0.7961341%,266.55207,33214.247311141,33480.799380335,OUTSIDE,INSIDE
234.171,101,33214.240127166,33480.799380335,0.7961556%,266.55925,33214.247311141,33480.799380335,INSIDE,INSIDE
237.851,102,33214.240127664,33480.799380335,0.7961556%,266.55925,33214.247311141,33480.799380335,OUTSIDE,INSIDE
239.877,103,33214.250218258,33480.799380335,0.7961254%,266.54916,33214.250218258,33480.799380335,OUTSIDE,INSIDE
242.578,104,33214.240127953,33480.799380335,0.7961556%,266.55925,33214.250218258,33480.799380335,INSIDE,INSIDE
245.866,105,33214.240126771,33480.799380335,0.7961556%,266.55925,33214.250218258,33480.799380335,INSIDE,INSIDE
249.463,106,33214.240165747,33480.799380335,0.7961555%,266.55921,33214.250218258,33480.799380335,INSIDE,INSIDE
252.722,107,33214.240126424,33480.799380335,0.7961556%,266.55925,33214.250218258,33480.799380335,INSIDE,INSIDE
255.926,108,33214.371586628,33480.799380335,0.7957629%,266.42779,33214.371586628,33480.799380335,OUTSIDE,INSIDE
257.903,109,33230.918870437,33480.799380335,0.7463397%,249.88051,33230.918870437,33480.799380335,OUTSIDE,INSIDE
261.190,110,33238.166905568,33480.799380335,0.7246914%,242.63247,33238.166905568,33480.799380335,OUTSIDE,INSIDE
264.217,111,33265.012125514,33480.799380335,0.6445105%,215.78725,33265.012125514,33480.799380335,INSIDE,INSIDE
267.139,112,33270.810544859,33480.799380335,0.6271918%,209.98884,33270.810544859,33480.799380335,OUTSIDE,INSIDE
270.400,113,33270.810307648,33480.799380335,0.6271925%,209.98907,33270.810544859,33480.799380335,INSIDE,INSIDE
274.377,114,33270.810309331,33480.799380335,0.6271925%,209.98907,33270.810544859,33480.799380335,INSIDE,INSIDE
278.012,115,33270.810308426,33480.799380335,0.6271925%,209.98907,33270.810544859,33480.799380335,INSIDE,INSIDE
281.337,116,33270.810309331,33480.799380335,0.6271925%,209.98907,33270.810544859,33480.799380335,INSIDE,INSIDE
285.092,117,33270.810551112,33480.799380335,0.6271918%,209.98883,33270.810551112,33480.799380335,OUTSIDE,INSIDE
288.291,118,33270.810551893,33480.799380335,0.6271918%,209.98883,33270.810551893,33480.799380335,INSIDE,INSIDE
291.932,119,33270.810551895,33480.799380335,0.6271918%,209.98883,33270.810551895,33480.799380335,OUTSIDE,INSIDE
295.240,120,33270.810552048,33480.799380335,0.6271918%,209.98883,33270.810552048,33480.799380335,OUTSIDE,INSIDE
298.955,121,33270.810551340,33480.799380335,0.6271918%,209.98883,33270.810552048,33480.799380335,INSIDE,INSIDE
302.527,122,33270.810552575,33480.799380335,0.6271918%,209.98883,33270.810552575,33480.799380335,OUTSIDE,INSIDE
305.997,123,33270.811660664,33480.799380335,0.6271885%,209.98772,33270.811660664,33480.799380335,INSIDE,INSIDE
309.243,124,33270.810552700,33480.799380335,0.6271918%,209.98883,33270.811660664,33480.799380335,INSIDE,INSIDE
312.559,125,33270.810552695,33480.799380335,0.6271918%,209.98883,33270.811660664,33480.799380335,INSIDE,INSIDE
