Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
92.534,4,-18.327306769,-16.250419831,12.7805125%,2.07689,-18.327306769,-16.250419831,INSIDE,INSIDE
248.098,5,-18.305195994,-16.250419831,12.6444497%,2.05478,-18.305195994,-16.250419831,OUTSIDE,INSIDE
407.918,6,-18.222115823,-16.250419831,12.1332003%,1.97170,-18.222115823,-16.250419831,OUTSIDE,OUTSIDE
579.281,7,-18.034723086,-16.250419831,10.9800440%,1.78430,-18.034723086,-16.250419831,INSIDE,INSIDE
750.542,8,-18.001469704,-16.250419831,10.7754131%,1.75105,-18.001469704,-16.250419831,OUTSIDE,INSIDE
898.948,9,-17.911129224,-16.250419831,10.2194861%,1.66071,-17.911129224,-16.250419831,OUTSIDE,OUTSIDE
1094.921,10,-17.800765624,-16.250419831,9.5403430%,1.55035,-17.800765624,-16.250419831,INSIDE,INSIDE
1289.069,11,-17.769331458,-16.250419831,9.3469070%,1.51891,-17.769331458,-16.250419831,INSIDE,INSIDE
1436.291,12,-17.688073504,-16.250419831,8.8468710%,1.43765,-17.688073504,-16.250419831,OUTSIDE,INSIDE
1653.215,13,-17.633184168,-16.250419831,8.5090992%,1.38276,-17.633184168,-16.250419831,OUTSIDE,OUTSIDE
1882.242,14,-17.352957179,-16.250419831,6.7846699%,1.10254,-17.352957179,-16.250419831,OUTSIDE,INSIDE
2110.310,15,-17.327121939,-16.250419831,6.6256879%,1.07670,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
2359.851,16,-17.420336341,-16.250419831,7.1993002%,1.16992,-17.327121939,-16.250419831,INSIDE,OUTSIDE
2657.002,17,-17.420337684,-16.250419831,7.1993085%,1.16992,-17.327121939,-16.250419831,INSIDE,OUTSIDE
2938.681,18,-17.420337684,-16.250419831,7.1993085%,1.16992,-17.327121939,-16.250419831,INSIDE,OUTSIDE
3215.395,19,-17.420337684,-16.250419831,7.1993085%,1.16992,-17.327121939,-16.250419831,INSIDE,OUTSIDE
3434.946,20,-17.415471834,-16.250419831,7.1693656%,1.16505,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
3655.596,21,-17.415360049,-16.250419831,7.1686777%,1.16494,-17.327121939,-16.250419831,INSIDE,OUTSIDE
3928.962,22,-17.415359982,-16.250419831,7.1686773%,1.16494,-17.327121939,-16.250419831,INSIDE,OUTSIDE
4198.872,23,-17.415359990,-16.250419831,7.1686773%,1.16494,-17.327121939,-16.250419831,INSIDE,OUTSIDE
4447.724,24,-17.400581745,-16.250419831,7.0777366%,1.15016,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
4701.199,25,-17.400581745,-16.250419831,7.0777366%,1.15016,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
4835.975,26,-17.399878312,-16.250419831,7.0734079%,1.14946,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
5085.480,27,-17.399878239,-16.250419831,7.0734075%,1.14946,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
5274.637,28,-17.399878236,-16.250419831,7.0734074%,1.14946,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
5514.601,29,-17.399878097,-16.250419831,7.0734066%,1.14946,-17.327121939,-16.250419831,INSIDE,OUTSIDE
5692.953,30,-17.399878236,-16.250419831,7.0734074%,1.14946,-17.327121939,-16.250419831,INSIDE,OUTSIDE
5968.551,31,-17.386375760,-16.250419831,6.9903174%,1.13596,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
6192.401,32,-17.383736477,-16.250419831,6.9740761%,1.13332,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
6418.240,33,-17.383735145,-16.250419831,6.9740679%,1.13332,-17.327121939,-16.250419831,INSIDE,OUTSIDE
6585.747,34,-17.383734111,-16.250419831,6.9740615%,1.13331,-17.327121939,-16.250419831,OUTSIDE,OUTSIDE
6758.485,35,-17.383732791,-16.250419831,6.9740534%,1.13331,-17.327121939,-16.250419831,INSIDE,OUTSIDE
