Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
0.881,4,-21.313619801,-19.995136558,6.5940197%,1.31848,-21.313619801,-19.995136558,INSIDE,INSIDE
2.317,5,-21.320625034,-19.995136797,6.6290531%,1.32549,-21.313619801,-19.995136797,INSIDE,INSIDE
4.095,6,-21.307917660,-19.995136797,6.5655008%,1.31278,-21.307917660,-19.995136797,INSIDE,INSIDE
5.713,7,-21.237985980,-19.995137204,6.2157552%,1.24285,-21.237985980,-19.995137204,OUTSIDE,INSIDE
7.067,8,-21.209797789,-19.995137204,6.0747799%,1.21466,-21.209797789,-19.995137204,INSIDE,OUTSIDE
8.530,9,-21.234444948,-19.995137204,6.1980457%,1.23931,-21.209797789,-19.995137204,INSIDE,OUTSIDE
10.497,10,-21.222499516,-19.995137204,6.1383040%,1.22736,-21.209797789,-19.995137204,INSIDE,OUTSIDE
12.508,11,-21.184529977,-19.995137204,5.9484102%,1.18939,-21.184529977,-19.995137204,INSIDE,OUTSIDE
13.939,12,-21.120991513,-19.995137204,5.6306406%,1.12585,-21.120991513,-19.995137204,OUTSIDE,OUTSIDE
14.852,13,-21.103612263,-19.995137204,5.5437232%,1.10848,-21.103612263,-19.995137204,INSIDE,OUTSIDE
15.784,14,-21.104865385,-19.995137204,5.5499903%,1.10973,-21.103612263,-19.995137204,INSIDE,OUTSIDE
16.814,15,-21.103612112,-19.995137204,5.5437224%,1.10847,-21.103612112,-19.995137204,INSIDE,OUTSIDE
17.727,16,-21.079935663,-19.995137204,5.4253114%,1.08480,-21.079935663,-19.995137204,OUTSIDE,OUTSIDE
19.231,17,-21.054060037,-19.995137204,5.2959018%,1.05892,-21.054060037,-19.995137204,OUTSIDE,OUTSIDE
20.740,18,-21.004295847,-19.995137204,5.0470203%,1.00916,-21.004295847,-19.995137204,OUTSIDE,OUTSIDE
22.308,19,-20.951371263,-19.995137204,4.7823331%,0.95623,-20.951371263,-19.995137204,OUTSIDE,OUTSIDE
23.751,20,-20.746607048,-19.995137204,3.7582630%,0.75147,-20.746607048,-19.995137204,INSIDE,OUTSIDE
25.227,21,-20.509775518,-19.995137204,2.5738174%,0.51464,-20.509775518,-19.995137204,OUTSIDE,OUTSIDE
26.119,22,-21.098544432,-19.995137204,5.5183779%,1.10341,-20.509775518,-19.995137204,INSIDE,OUTSIDE
28.113,23,-21.104877793,-19.995137204,5.5500524%,1.10974,-20.509775518,-19.995137204,INSIDE,OUTSIDE
29.631,24,-21.122153869,-19.995137204,5.6364538%,1.12702,-20.509775518,-19.995137204,INSIDE,OUTSIDE
31.133,25,-21.104476961,-19.995137204,5.5480477%,1.10934,-20.509775518,-19.995137204,INSIDE,OUTSIDE
32.596,26,-21.121785801,-19.995137204,5.6346130%,1.12665,-20.509775518,-19.995137204,INSIDE,OUTSIDE
34.060,27,-21.104203186,-19.995137204,5.5466785%,1.10907,-20.509775518,-19.995137204,INSIDE,OUTSIDE
35.567,28,-21.121534379,-19.995137204,5.6333556%,1.12640,-20.509775518,-19.995137204,INSIDE,OUTSIDE
37.134,29,-21.104016133,-19.995137204,5.5457430%,1.10888,-20.509775518,-19.995137204,INSIDE,OUTSIDE
38.608,30,-21.121362585,-19.995137204,5.6324964%,1.12623,-20.509775518,-19.995137204,INSIDE,OUTSIDE
40.201,31,-21.103888302,-19.995137204,5.5451037%,1.10875,-20.509775518,-19.995137204,INSIDE,OUTSIDE
41.782,32,-21.121245177,-19.995137204,5.6319092%,1.12611,-20.509775518,-19.995137204,INSIDE,OUTSIDE
43.281,33,-21.103800931,-19.995137204,5.5446668%,1.10866,-20.509775518,-19.995137204,INSIDE,OUTSIDE
44.851,34,-21.121164927,-19.995137204,5.6315079%,1.12603,-20.509775518,-19.995137204,INSIDE,OUTSIDE
