Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
36.338,32,1127902.782773598,5812535.947659058,80.5953410%,4684633.16489,1127902.782773598,5812535.947659058,INSIDE,OUTSIDE
43.739,33,1127899.637163056,5812535.947659058,80.5953951%,4684636.31050,1127902.782773598,5812535.947659058,INSIDE,OUTSIDE
49.637,34,1127899.637163056,5812535.947659058,80.5953951%,4684636.31050,1127902.782773598,5812535.947659058,OUTSIDE,OUTSIDE
52.816,35,1128281.625677957,5812535.947659058,80.5888233%,4684254.32198,1128281.625677957,5812535.947659058,OUTSIDE,OUTSIDE
56.106,36,1128353.304652888,5812535.947659058,80.5875901%,4684182.64301,1128353.304652888,5812535.947659058,INSIDE,OUTSIDE
60.520,37,1128632.800477074,5812535.947659058,80.5827816%,4683903.14718,1128632.800477074,5812535.947659058,OUTSIDE,OUTSIDE
64.534,38,1128632.800966181,5812535.947659058,80.5827816%,4683903.14669,1128632.800966181,5812535.947659058,INSIDE,OUTSIDE
68.320,39,1128637.114502415,5812535.947659058,80.5827074%,4683898.83316,1128637.114502415,5812535.947659058,INSIDE,OUTSIDE
72.540,40,1129269.994925895,5812535.947659058,80.5718192%,4683265.95273,1129269.994925895,5812535.947659058,OUTSIDE,OUTSIDE
76.196,41,1129269.995769536,5812535.947659058,80.5718192%,4683265.95189,1129269.995769536,5812535.947659058,INSIDE,OUTSIDE
79.171,42,1129269.996616296,5812535.947659058,80.5718191%,4683265.95104,1129269.996616296,5812535.947659058,INSIDE,OUTSIDE
82.195,43,1129269.997461048,5812535.947659058,80.5718191%,4683265.95020,1129269.997461048,5812535.947659058,INSIDE,OUTSIDE
85.339,44,1129269.998307175,5812535.947659058,80.5718191%,4683265.94935,1129269.998307175,5812535.947659058,INSIDE,OUTSIDE
88.460,45,1129269.999153180,5812535.947659058,80.5718191%,4683265.94851,1129269.999153180,5812535.947659058,INSIDE,OUTSIDE
91.617,46,1129269.999998555,5812535.947659058,80.5718191%,4683265.94766,1129269.999998555,5812535.947659058,INSIDE,OUTSIDE
94.702,47,1129270.000843558,5812535.947659058,80.5718191%,4683265.94682,1129270.000843558,5812535.947659058,INSIDE,OUTSIDE
97.758,48,1129270.001688935,5812535.947659058,80.5718191%,4683265.94597,1129270.001688935,5812535.947659058,INSIDE,OUTSIDE
100.682,49,1129270.002532921,5812535.947659058,80.5718190%,4683265.94513,1129270.002532921,5812535.947659058,INSIDE,OUTSIDE
103.757,50,1129270.003380715,5812535.947659058,80.5718190%,4683265.94428,1129270.003380715,5812535.947659058,INSIDE,OUTSIDE
106.707,51,1129270.004224536,5812535.947659058,80.5718190%,4683265.94343,1129270.004224536,5812535.947659058,INSIDE,OUTSIDE
109.737,52,1129270.005068359,5812535.947659058,80.5718190%,4683265.94259,1129270.005068359,5812535.947659058,INSIDE,OUTSIDE
113.221,53,1129270.005912021,5812535.947659058,80.5718190%,4683265.94175,1129270.005912021,5812535.947659058,INSIDE,OUTSIDE
116.552,54,1129270.006759765,5812535.947659058,80.5718190%,4683265.94090,1129270.006759765,5812535.947659058,INSIDE,OUTSIDE
120.036,55,1129270.007603422,5812535.947659058,80.5718189%,4683265.94006,1129270.007603422,5812535.947659058,INSIDE,OUTSIDE
