Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.493,32,-8739.973235645,-8737.992381802,0.0226694%,1.98085,-8739.973235645,-8737.992381802,N/A,N/A,N/A,0/5,none,none
1.289,32,-8739.973235645,-8737.992381802,0.0226694%,1.98085,-8739.973235645,-8737.992381802,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
88.512,33,-8739.558121100,-8737.992381802,0.0179188%,1.56574,-8739.558121100,-8737.992381802,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
102.367,34,-8739.558120943,-8737.992381802,0.0179188%,1.56574,-8739.558120943,-8737.992381802,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
116.401,35,-8739.558120784,-8737.992381802,0.0179187%,1.56574,-8739.558120784,-8737.992381802,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
130.315,36,-8739.558120781,-8737.992381802,0.0179187%,1.56574,-8739.558120781,-8737.992381802,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5,none
147.448,37,-8739.558120777,-8737.992381802,0.0179187%,1.56574,-8739.558120777,-8737.992381802,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 1/5,1/1
165.051,38,-8739.558120782,-8737.992381802,0.0179187%,1.56574,-8739.558120777,-8737.992381802,INSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 1/5,1/1
182.691,39,-8739.558120775,-8737.992381802,0.0179187%,1.56574,-8739.558120775,-8737.992381802,OUTSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 1/5,1/1
200.527,40,-8739.558120783,-8737.992381802,0.0179187%,1.56574,-8739.558120775,-8737.992381802,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5,none
218.327,41,-8739.558120774,-8737.992381802,0.0179187%,1.56574,-8739.558120774,-8737.992381802,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
233.256,42,-8739.558120782,-8737.992381802,0.0179187%,1.56574,-8739.558120774,-8737.992381802,INSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5,none
251.903,43,-8739.558120782,-8737.992381802,0.0179187%,1.56574,-8739.558120774,-8737.992381802,INSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5,none
270.504,44,-8739.558120782,-8737.992381802,0.0179187%,1.56574,-8739.558120774,-8737.992381802,OUTSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 1/5,1/1
288.990,45,-8739.558120782,-8737.992381802,0.0179187%,1.56574,-8739.558120774,-8737.992381802,INSIDE,N/A,ok_not_best,0/5,0/5; 0/5; 0/5; 0/5; 0/5; 0/5,none
