Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
1.256,32,-133.375324206,-132.069616115,0.9886514%,1.30571,-133.375324206,-132.069616115,N/A,N/A,N/A,0/5,none,none
2.280,32,-133.375324206,-132.736418515,0.4813341%,0.63891,-133.375324206,-132.736418515,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
103.506,33,-132.957999027,-132.736418515,0.1669327%,0.22158,-132.957999027,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
107.174,34,-132.885724792,-132.736418515,0.1124833%,0.14931,-132.885724792,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
110.858,35,-132.837892649,-132.736418515,0.0764478%,0.10147,-132.837892649,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
114.540,36,-132.818903781,-132.736418515,0.0621422%,0.08249,-132.818903781,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
118.356,37,-132.806018709,-132.736418515,0.0524349%,0.06960,-132.806018709,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
122.233,38,-132.784610370,-132.736418515,0.0363064%,0.04819,-132.784610370,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
126.093,39,-132.782114458,-132.736418515,0.0344261%,0.04570,-132.782114458,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
129.815,40,-132.770101806,-132.736418515,0.0253761%,0.03368,-132.770101806,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
133.539,41,-132.760170510,-132.736418515,0.0178941%,0.02375,-132.760170510,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
137.239,42,-132.759910519,-132.736418515,0.0176982%,0.02349,-132.759910519,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
140.996,43,-132.753297868,-132.736418515,0.0127164%,0.01688,-132.753297868,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
144.838,44,-132.748486048,-132.736418515,0.0090914%,0.01207,-132.748486048,-132.736418515,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
