Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.722,32,-357.181306426,-306.239522933,16.6346208%,50.94178,-357.181306426,-306.239522933,N/A,N/A,N/A,0/5,none,none
1.596,32,-357.189645411,-356.930406371,0.0726301%,0.25924,-357.181306426,-356.930406371,INSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
12.929,33,-357.181306426,-356.930406371,0.0702938%,0.25090,-357.181306426,-356.930406371,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
86.695,34,-357.143727088,-356.930406371,0.0597654%,0.21332,-357.143727088,-356.930406371,OUTSIDE,INSIDE,ok_not_best,0/5,0/5; 0/5,none
90.448,35,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
93.781,36,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
96.985,37,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
100.282,38,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
103.507,39,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
106.698,40,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
109.970,41,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
113.160,42,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
116.374,43,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
119.639,44,-357.143727087,-356.930406371,0.0597654%,0.21332,-357.143727087,-356.930406371,INSIDE,OUTSIDE,ok_not_best,0/5,0/5; 0/5,none
