Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
1.202,4,-14.651033719,-14.610864479,0.2749272%,0.04017,-14.651033719,-14.610864479,OUTSIDE,INSIDE
3.057,5,-14.651033719,-14.610864479,0.2749272%,0.04017,-14.651033719,-14.610864479,OUTSIDE,INSIDE
4.726,6,-14.650945125,-14.610864479,0.2743208%,0.04008,-14.650945125,-14.610864479,OUTSIDE,INSIDE
6.426,7,-14.650861695,-14.610864479,0.2737498%,0.04000,-14.650861695,-14.610864479,INSIDE,INSIDE
8.010,8,-14.650783128,-14.610864479,0.2732121%,0.03992,-14.650783128,-14.610864479,INSIDE,INSIDE
9.707,9,-14.650709137,-14.610864479,0.2727057%,0.03984,-14.650709137,-14.610864479,INSIDE,INSIDE
11.318,10,-14.650639456,-14.610864479,0.2722288%,0.03977,-14.650639456,-14.610864479,INSIDE,INSIDE
12.897,11,-14.650573835,-14.610864479,0.2717796%,0.03971,-14.650573835,-14.610864479,INSIDE,INSIDE
14.501,12,-14.650509260,-14.610864479,0.2713377%,0.03964,-14.650509260,-14.610864479,INSIDE,INSIDE
16.066,13,-14.650444953,-14.610864479,0.2708975%,0.03958,-14.650444953,-14.610864479,INSIDE,INSIDE
17.624,14,-14.650380912,-14.610864479,0.2704592%,0.03952,-14.650380912,-14.610864479,INSIDE,INSIDE
19.206,15,-14.650317138,-14.610864479,0.2700228%,0.03945,-14.650317138,-14.610864479,INSIDE,INSIDE
20.791,16,-14.650253628,-14.610864479,0.2695881%,0.03939,-14.650253628,-14.610864479,INSIDE,INSIDE
22.367,17,-14.650190382,-14.610864479,0.2691552%,0.03933,-14.650190382,-14.610864479,INSIDE,INSIDE
23.988,18,-14.650127398,-14.610864479,0.2687241%,0.03926,-14.650127398,-14.610864479,INSIDE,INSIDE
25.694,19,-14.650064675,-14.610864479,0.2682948%,0.03920,-14.650064675,-14.610864479,INSIDE,INSIDE
27.465,20,-14.650002211,-14.610864479,0.2678673%,0.03914,-14.650002211,-14.610864479,INSIDE,INSIDE
29.216,21,-14.649940007,-14.610864479,0.2674416%,0.03908,-14.649940007,-14.610864479,INSIDE,INSIDE
30.862,22,-14.649878060,-14.610864479,0.2670176%,0.03901,-14.649878060,-14.610864479,INSIDE,INSIDE
32.759,23,-14.649816370,-14.610864479,0.2665954%,0.03895,-14.649816370,-14.610864479,INSIDE,INSIDE
34.361,24,-14.649754935,-14.610864479,0.2661749%,0.03889,-14.649754935,-14.610864479,INSIDE,INSIDE
35.983,25,-14.649693754,-14.610864479,0.2657562%,0.03883,-14.649693754,-14.610864479,INSIDE,INSIDE
37.685,26,-14.649632826,-14.610864479,0.2653392%,0.03877,-14.649632826,-14.610864479,INSIDE,INSIDE
39.286,27,-14.649572150,-14.610864479,0.2649239%,0.03871,-14.649572150,-14.610864479,INSIDE,INSIDE
40.899,28,-14.649511726,-14.610864479,0.2645103%,0.03865,-14.649511726,-14.610864479,INSIDE,INSIDE
42.488,29,-14.649451550,-14.610864479,0.2640985%,0.03859,-14.649451550,-14.610864479,INSIDE,INSIDE
44.174,30,-14.649391624,-14.610864479,0.2636883%,0.03853,-14.649391624,-14.610864479,INSIDE,INSIDE
45.831,31,-14.649331945,-14.610864479,0.2632799%,0.03847,-14.649331945,-14.610864479,INSIDE,INSIDE
47.560,32,-14.649272513,-14.610864479,0.2628731%,0.03841,-14.649272513,-14.610864479,INSIDE,INSIDE
49.309,33,-14.649213325,-14.610864479,0.2624680%,0.03835,-14.649213325,-14.610864479,INSIDE,INSIDE
50.928,34,-14.649154383,-14.610864479,0.2620646%,0.03829,-14.649154383,-14.610864479,INSIDE,INSIDE
52.587,35,-14.649095683,-14.610864479,0.2616628%,0.03823,-14.649095683,-14.610864479,INSIDE,INSIDE
54.157,36,-14.649037226,-14.610864479,0.2612627%,0.03817,-14.649037226,-14.610864479,INSIDE,INSIDE
55.719,37,-14.648979009,-14.610864479,0.2608643%,0.03811,-14.648979009,-14.610864479,INSIDE,INSIDE
57.322,38,-14.648921033,-14.610864479,0.2604675%,0.03806,-14.648921033,-14.610864479,INSIDE,INSIDE
58.879,39,-14.648863296,-14.610864479,0.2600723%,0.03800,-14.648863296,-14.610864479,INSIDE,INSIDE
60.429,40,-14.648805796,-14.610864479,0.2596788%,0.03794,-14.648805796,-14.610864479,INSIDE,INSIDE
62.003,41,-14.648748534,-14.610864479,0.2592869%,0.03788,-14.648748534,-14.610864479,INSIDE,INSIDE
63.591,42,-14.648691507,-14.610864479,0.2588966%,0.03783,-14.648691507,-14.610864479,INSIDE,INSIDE
65.139,43,-14.648634715,-14.610864479,0.2585079%,0.03777,-14.648634715,-14.610864479,INSIDE,INSIDE
66.743,44,-14.648578157,-14.610864479,0.2581208%,0.03771,-14.648578157,-14.610864479,INSIDE,INSIDE
