# simplex_record_ms_cs_detail.txt — per-scenario ms/cs values and points
# For the selected (LB) simplex each iteration
# ms_val, ms_pt (coordinates), ms_bary (barycentric)
# cs_val, cs_pt (coordinates), cs_bary (barycentric)

=== Iter 1 ===
simplex: T1  verts=(0, 1, 3, 4)  cs_status=full  ms_status=none

  MS per scenario (50 scenarios):
    s=0  ms=inf  pt=None  bary=N/A
    s=1  ms=inf  pt=None  bary=N/A
    s=2  ms=inf  pt=None  bary=N/A
    s=3  ms=inf  pt=None  bary=N/A
    s=4  ms=inf  pt=None  bary=N/A
    s=5  ms=inf  pt=None  bary=N/A
    s=6  ms=inf  pt=None  bary=N/A
    s=7  ms=inf  pt=None  bary=N/A
    s=8  ms=inf  pt=None  bary=N/A
    s=9  ms=inf  pt=None  bary=N/A
    s=10  ms=inf  pt=None  bary=N/A
    s=11  ms=inf  pt=None  bary=N/A
    s=12  ms=inf  pt=None  bary=N/A
    s=13  ms=inf  pt=None  bary=N/A
    s=14  ms=inf  pt=None  bary=N/A
    s=15  ms=inf  pt=None  bary=N/A
    s=16  ms=inf  pt=None  bary=N/A
    s=17  ms=inf  pt=None  bary=N/A
    s=18  ms=inf  pt=None  bary=N/A
    s=19  ms=inf  pt=None  bary=N/A
    s=20  ms=inf  pt=None  bary=N/A
    s=21  ms=inf  pt=None  bary=N/A
    s=22  ms=inf  pt=None  bary=N/A
    s=23  ms=inf  pt=None  bary=N/A
    s=24  ms=inf  pt=None  bary=N/A
    s=25  ms=inf  pt=None  bary=N/A
    s=26  ms=inf  pt=None  bary=N/A
    s=27  ms=inf  pt=None  bary=N/A
    s=28  ms=inf  pt=None  bary=N/A
    s=29  ms=inf  pt=None  bary=N/A
    s=30  ms=inf  pt=None  bary=N/A
    s=31  ms=inf  pt=None  bary=N/A
    s=32  ms=inf  pt=None  bary=N/A
    s=33  ms=inf  pt=None  bary=N/A
    s=34  ms=inf  pt=None  bary=N/A
    s=35  ms=inf  pt=None  bary=N/A
    s=36  ms=inf  pt=None  bary=N/A
    s=37  ms=inf  pt=None  bary=N/A
    s=38  ms=inf  pt=None  bary=N/A
    s=39  ms=inf  pt=None  bary=N/A
    s=40  ms=inf  pt=None  bary=N/A
    s=41  ms=inf  pt=None  bary=N/A
    s=42  ms=inf  pt=None  bary=N/A
    s=43  ms=inf  pt=None  bary=N/A
    s=44  ms=inf  pt=None  bary=N/A
    s=45  ms=inf  pt=None  bary=N/A
    s=46  ms=inf  pt=None  bary=N/A
    s=47  ms=inf  pt=None  bary=N/A
    s=48  ms=inf  pt=None  bary=N/A
    s=49  ms=inf  pt=None  bary=N/A

  CS per scenario (50 scenarios):
    s=0  cs=9.960028e-01  pt=(-9.999558, -99.999174, 0.938836)  bary=(0.000004, 0.504690, 0.000022, 0.495284)
    s=1  cs=9.451258e-01  pt=(-9.999895, -99.999805, 0.789547)  bary=(0.000001, 0.503947, 0.000005, 0.496047)
    s=2  cs=9.559332e-01  pt=(-9.996669, -99.994614, 1.648255)  bary=(0.000027, 0.508214, 0.000167, 0.491592)
    s=3  cs=1.054552e+00  pt=(-10.000000, -100.000000, 0.350282)  bary=(0.000000, 0.501751, -0.000000, 0.498249)
    s=4  cs=9.683376e-01  pt=(-9.999985, -99.999972, 0.393764)  bary=(0.000000, 0.501969, 0.000001, 0.498030)
    s=5  cs=9.431593e-01  pt=(9.459346, 99.747182, -0.000055)  bary=(0.998736, -0.498736, 0.972967, -0.472967)
    s=6  cs=1.010819e+00  pt=(-9.999583, -99.999308, 1.964071)  bary=(0.000003, 0.509817, 0.000021, 0.490159)
    s=7  cs=9.467113e-01  pt=(-9.988177, -99.980416, 0.819723)  bary=(0.000098, 0.504001, 0.000591, 0.495310)
    s=8  cs=1.010766e+00  pt=(-9.999996, -99.999992, 0.663667)  bary=(0.000000, 0.503318, 0.000000, 0.496681)
    s=9  cs=9.569452e-01  pt=(-10.000000, -100.000000, 1.459518)  bary=(0.000000, 0.507298, -0.000000, 0.492702)
    s=10  cs=9.643371e-01  pt=(-9.999985, -99.999970, 0.278259)  bary=(0.000000, 0.501391, 0.000001, 0.498608)
    s=11  cs=1.034549e+00  pt=(-9.999994, -99.999989, 1.139265)  bary=(0.000000, 0.505696, 0.000000, 0.494303)
    s=12  cs=9.517296e-01  pt=(-9.999943, -99.999905, 0.699742)  bary=(0.000000, 0.503498, 0.000003, 0.496498)
    s=13  cs=9.741646e-01  pt=(-10.000000, -100.000000, 1.342860)  bary=(0.000000, 0.506714, -0.000000, 0.493286)
    s=14  cs=9.928688e-01  pt=(-9.999384, -99.998898, 2.125303)  bary=(0.000006, 0.510621, 0.000031, 0.489343)
    s=15  cs=1.071032e+00  pt=(-9.999997, -99.999995, 1.852303)  bary=(0.000000, 0.509261, 0.000000, 0.490738)
    s=16  cs=9.545154e-01  pt=(-9.999973, -99.999950, 0.744815)  bary=(0.000000, 0.503724, 0.000001, 0.496275)
    s=17  cs=9.535725e-01  pt=(-9.999977, -99.999948, 0.828291)  bary=(0.000000, 0.504141, 0.000001, 0.495857)
