Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,UB_status,cs_status_choosen,cs_status_all,cs_fallback
0.174,8,111.738665695,35722.289474738,99.6872018%,35610.55081,111.738665695,35722.289474738,N/A,N/A,N/A,0/2,none,none
0.389,8,111.738665695,5371.337581302,97.9197236%,5259.59892,111.738665695,5371.337581302,OUTSIDE,INSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
2.518,9,2663.337453367,5371.337581302,50.4157500%,2708.00013,2663.337453367,5371.337581302,INSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
3.272,10,2786.092116522,5371.337581302,48.1303851%,2585.24546,2786.092116522,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
4.245,11,2806.428580427,5371.337581302,47.7517743%,2564.90900,2806.428580427,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
5.025,12,2870.510916508,5371.337581302,46.5587319%,2500.82666,2870.510916508,5371.337581302,OUTSIDE,INSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
5.803,13,3061.706619029,5371.337581302,42.9991772%,2309.63096,3061.706619029,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
6.627,14,3151.890078450,5371.337581302,41.3202013%,2219.44750,3151.890078450,5371.337581302,INSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
7.473,15,3209.130869735,5371.337581302,40.2545303%,2162.20671,3209.130869735,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
8.320,16,3297.393045723,5371.337581302,38.6113236%,2073.94454,3297.393045723,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
9.164,17,3299.314329325,5371.337581302,38.5755544%,2072.02325,3299.314329325,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
10.058,18,3299.314329365,5371.337581302,38.5755544%,2072.02325,3299.314329365,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
10.870,19,3374.010767562,5371.337581302,37.1849057%,1997.32681,3374.010767562,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
11.703,20,3444.817296345,5371.337581302,35.8666767%,1926.52028,3444.817296345,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
12.557,21,3444.817296402,5371.337581302,35.8666767%,1926.52028,3444.817296402,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
13.418,22,3445.092470697,5371.337581302,35.8615537%,1926.24511,3445.092470697,5371.337581302,OUTSIDE,OUTSIDE,ok_not_best,0/2,0/2; 0/2; 0/2,none
14.302,23,3445.092470697,5371.337581302,35.8615537%,1926.24511,3445.092470697,5371.337581302,N/A,N/A,early_exit:mode7_no_valid_split_on_chosen_face,0/2,none,none
