Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split,cs_status_choosen,cs_status_all
0.783,32,-90.254177848,-90.013708813,0.2671471%,0.24047,-90.254177848,-90.013708813,N/A,N/A,0/10,none
2.043,32,-90.254177848,-90.013708813,0.2671471%,0.24047,-90.254177848,-90.013708813,OUTSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
111.232,33,-90.250626084,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
119.671,34,-90.250626084,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
129.322,35,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
139.697,36,-90.250626084,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,OUTSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
150.791,37,-90.250626084,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10; 0/10
163.053,38,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10
174.314,39,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10
183.270,40,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10
195.153,41,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10
204.449,42,-90.250626085,-90.013708813,0.2632013%,0.23692,-90.250626084,-90.013708813,INSIDE,INSIDE,0/10,0/10; 0/10; 0/10; 0/10; 0/10
