Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
12.516,1, ,* L U,0.95630935,0.97849443,2.2673%,0.022185,2
22.127,2, ,* U  ,0.95630935,0.97586654,2.0041%,0.019557,3
37.785,3, ,* L  ,0.96130245,0.97586654,1.4924%,0.014564,4
49.854,4, , ,0.96130245,0.97586654,1.4924%,0.014564,5
66.258,5, ,* L  ,0.96130245,0.97586654,1.4924%,0.014564,6
78.346,6, , ,0.96130245,0.97586654,1.4924%,0.014564,7
90.356,7, ,* L  ,0.96531733,0.97586654,1.081%,0.010549,8
96.303,8, , ,0.96531733,0.97586654,1.081%,0.010549,9
102.076,9, ,* L  ,0.96547282,0.97586654,1.0651%,0.010394,10
107.281,10,Bound, ,0.96547282,0.97586654,1.0651%,0.010394,9
114.34,11, ,* L  ,0.96699959,0.97586654,0.9086%,0.008867,10
120.401,12, , ,0.96699959,0.97586654,0.9086%,0.008867,11
127.151,13, ,* L  ,0.96700018,0.97586654,0.9086%,0.008866,12
133.779,14, , ,0.96700018,0.97586654,0.9086%,0.008866,13
141.129,15, ,* L  ,0.96700437,0.97586654,0.9081%,0.008862,14
147.142,16, , ,0.96700437,0.97586654,0.9081%,0.008862,15
154.269,17, ,* L  ,0.96701546,0.97586654,0.907%,0.008851,16
160.475,18, , ,0.96701546,0.97586654,0.907%,0.008851,17
167.227,19, ,* L  ,0.96701766,0.97586654,0.9068%,0.008849,18
173.66,20, , ,0.96701766,0.97586654,0.9068%,0.008849,19
181.0,21, ,* L  ,0.96701854,0.97586654,0.9067%,0.008848,20
186.536,22, , ,0.96701854,0.97586654,0.9067%,0.008848,21
192.703,23, ,* L  ,0.96702237,0.97586654,0.9063%,0.008844,22
199.356,24, , ,0.96702237,0.97586654,0.9063%,0.008844,23
206.038,25, ,* L  ,0.96702746,0.97586654,0.9058%,0.008839,24
212.753,26, , ,0.96702746,0.97586654,0.9058%,0.008839,25
221.195,27, ,* L  ,0.96718361,0.97586654,0.8898%,0.008683,26
231.025,28, , ,0.96718361,0.97586654,0.8898%,0.008683,27
242.888,29, ,* L  ,0.9672122,0.97586654,0.8868%,0.008654,28
252.323,30, , ,0.9672122,0.97586654,0.8868%,0.008654,29
261.99,31, ,* L  ,0.96722313,0.97586654,0.8857%,0.008643,30
271.883,32, , ,0.96722313,0.97586654,0.8857%,0.008643,31
282.222,33, ,* L  ,0.96725903,0.97586654,0.882%,0.008608,32
292.402,34, , ,0.96725903,0.97586654,0.882%,0.008608,33
302.123,35, ,* L  ,0.96725981,0.97586654,0.882%,0.008607,34
312.054,36, , ,0.96725981,0.97586654,0.882%,0.008607,35
321.691,37, ,* L  ,0.96726385,0.97586654,0.8815%,0.008603,36
331.113,38, , ,0.96726385,0.97586654,0.8815%,0.008603,37
340.083,39, ,* L  ,0.96741465,0.97586654,0.8661%,0.008452,38
348.935,40, , ,0.96741465,0.97586654,0.8661%,0.008452,39
360.161,41,Bound,* L  ,0.96807874,0.97586654,0.798%,0.007788,38
370.153,42, , ,0.96807874,0.97586654,0.798%,0.007788,39
379.542,43, ,* L  ,0.96895085,0.97586654,0.7087%,0.006916,40
390.533,44, , ,0.96895085,0.97586654,0.7087%,0.006916,41
399.806,45, ,* L  ,0.96954006,0.97586654,0.6483%,0.006326,42
406.449,46, , ,0.96954006,0.97586654,0.6483%,0.006326,43
413.56,47, ,* L  ,0.96954649,0.97586654,0.6476%,0.00632,44
420.151,48, , ,0.96954649,0.97586654,0.6476%,0.00632,45
