Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
84.143,1, ,* L  ,0.95625694,inf,inf%,inf,2
177.533,2, , ,0.95625694,inf,inf%,inf,3
260.471,3, ,* L  ,0.96530238,inf,inf%,inf,4
330.472,4, ,* U  ,0.96530238,0.98987486,2.4824%,0.024572,5
418.74,5, ,* L  ,0.96676734,0.98987486,2.3344%,0.023108,6
502.768,6, , ,0.96676734,0.98987486,2.3344%,0.023108,7
588.605,7, ,* L  ,0.9682011,0.98987486,2.1895%,0.021674,8
664.607,8, , ,0.9682011,0.98987486,2.1895%,0.021674,9
747.8,9, ,* L  ,0.96872168,0.98987486,2.137%,0.021153,10
827.0,10, , ,0.96872168,0.98987486,2.137%,0.021153,11
904.303,11, ,* L  ,0.96917257,0.98987486,2.0914%,0.020702,12
981.434,12, , ,0.96917257,0.98987486,2.0914%,0.020702,13
1053.273,13, ,* L U,0.97004186,0.98543051,1.5616%,0.015389,14
1129.942,14, ,* U  ,0.97004186,0.98459819,1.4784%,0.014556,15
1204.615,15, ,* L U,0.97012534,0.9844943,1.4595%,0.014369,16
1305.515,16, , ,0.97012534,0.9844943,1.4595%,0.014369,17
1370.62,17,Bound,* L  ,0.97030508,0.9844943,1.4413%,0.014189,16
1424.248,18,Bound, ,0.97030508,0.9844943,1.4413%,0.014189,15
1474.186,19, ,* L  ,0.97030848,0.9844943,1.4409%,0.014186,16
1525.113,20, ,* U  ,0.97030848,0.98289092,1.2801%,0.012582,17
1575.834,21, ,* L U,0.97050412,0.98270888,1.242%,0.012205,18
1631.519,22, , ,0.97050412,0.98270888,1.242%,0.012205,19
1675.844,23,Bound,* L  ,0.9706427,0.98270888,1.2278%,0.012066,18
1781.757,24, , ,0.9706427,0.98270888,1.2278%,0.012066,19
1857.123,25, ,* L  ,0.97078645,0.98270888,1.2132%,0.011922,20
1931.453,26, , ,0.97078645,0.98270888,1.2132%,0.011922,21
2379.443,27, ,* L  ,0.9720405,0.98270888,1.0856%,0.010668,22
2430.628,28, ,* U  ,0.9720405,0.98270886,1.0856%,0.010668,23
2492.148,29, ,* L  ,0.97206737,0.98270886,1.0829%,0.010641,24
2542.387,30, , ,0.97206737,0.98270886,1.0829%,0.010641,25
2596.627,31, ,* L  ,0.97252299,0.98270886,1.0365%,0.010186,26
2760.629,32, , ,0.97252299,0.98270886,1.0365%,0.010186,27
2832.393,33,Bound,* L  ,0.97271531,0.98270886,1.0169%,0.009994,26
3028.611,34, , ,0.97271531,0.98270886,1.0169%,0.009994,27
3222.882,35, ,* L  ,0.97330152,0.98270886,0.9573%,0.009407,28
3277.627,36,Bound, ,0.97330152,0.98270886,0.9573%,0.009407,27
3339.243,37, ,* L U,0.97374379,0.98259255,0.9006%,0.008849,28
3452.974,38, , ,0.97374379,0.98259255,0.9006%,0.008849,29
3749.539,39, , ,0.97374379,0.98259255,0.9006%,0.008849,30
4038.91,40, , ,0.97374379,0.98259255,0.9006%,0.008849,31
4357.734,41, ,* L  ,0.97374379,0.98259255,0.9006%,0.008849,32
4661.461,42, , ,0.97374379,0.98259255,0.9006%,0.008849,33
4953.811,43, ,* L  ,0.97374379,0.98259255,0.9006%,0.008849,34
5240.431,44, , ,0.97374379,0.98259255,0.9006%,0.008849,35
5651.71,45, ,* L  ,0.97374379,0.98259255,0.9006%,0.008849,36
6251.987,46, , ,0.97374379,0.98259255,0.9006%,0.008849,37
6654.089,47, ,* L  ,0.97374379,0.98259255,0.9006%,0.008849,38
7288.157,48, ,* L  ,-inf,0.98259255,inf%,inf,39
